,0,1,Unnamed: 0,contains keyword
3,"Beijing Blocks Blackstone, Backs Ant Consumer-Loans Breakout",0.5897212028503418,197320.0,0.0
4,"Amazon To Pay Flex Drivers $60 Mln Withheld As Tips, Says FTC",0.5832887291908264,72794.0,0.0
5,"EV startup Rivian announces $2.5 billion funding round led by Amazon, Ford",0.5768963694572449,233700.0,0.0
63268,Is There Room for Latecomers to the COVID-19 Party?,0.4301451444625855,189816.0,0.0
63269,3 Reasons Walmart Is a Buy | The Motley Fool,0.4301440715789795,97541.0,0.0
63270,"How Pfizer Makes Money: Oncology, Internal Medicine, and Vaccines",0.4301421642303467,160722.0,0.0
126535,52 Shades of Success: She leverages virtual world by going global during Covid,0.3910553455352783,19206.0,0.0
126536,Top Buys From The Best Money Managers (Q1 2021),0.3910530805587769,82133.0,0.0
126558,Automating Business With This New Smart Database,0.3910513520240784,75544.0,0.0
189802,US STOCKS-Wall Street drops on fears over new coronavirus strain,0.3464861214160919,11231.0,0.0
189803,UK lockdowns fuel record year for home entertainment spending,0.3464813828468323,55146.0,0.0
189804,"More Quarterly Losses From Uber, Lyft Suggest the Current Ride-Hailing Model Just Doesn't Work",0.34648048877716064,26238.0,0.0
253070,Ford Has Strong Present and Future Catalysts,0.11957719922065735,223082.0,0.0
253075,Financial Stocks Are Unattractive,0.1195654571056366,120879.0,0.0
253077,Is Ford's Stock Overvalued Or Undervalued?,0.11887867748737335,231406.0,0.0
